id,title,authorName,commentCount,votes,postDate

733595,Recap of Competition - Congratulations to the Winners!,,0,6,2026-08-07 15:20:30.345000

733341,That's a wrap - thank you all!,,7,27,2026-08-06 15:50:39.640000

727171,Working Note Award - winners!!!,,0,48,2026-07-18 03:51:39.763000

716699,How to submit your Writeup for the Working Note Award,,44,12,2026-06-30 21:24:40.128000

709495,New: Working Note Awards! Submit by July 6,,14,18,2026-06-18 23:29:46.734000

707695,Private Test Update and Rescore,,5,19,2026-06-11 14:04:07.034000

697416,Welcome to ROGII - Wellbore Geology Prediction!,,17,38,2026-05-06 00:04:21.663000

697400,[EDIT] Dataset issue - Fixed!,,7,18,2026-05-05 22:46:46.774000

694973,How to get started + Competition's Official Discord,,24,15,2026-04-27 21:33:19.370000

733895,"3581st 竊・429th: A 3,152-Place Shakeup",,0,2,2026-08-08 23:08:20.467000

733845,private 20th | public 3rd solution: RAFT-refined GR竊杯ypewell matcher,,0,5,2026-08-08 19:58:53.597000

733860,17th place solution,,0,8,2026-08-08 17:00:03.960000

733857,140th Place Solution: Better Inputs,,0,2,2026-08-08 16:48:27.463000

733781,[242nd Place] A Particle-Filter Baseline with TabM Residual Learning,,0,1,2026-08-08 07:47:51.107000

733754,85th Place - Physics-Aware LightGBM with Test-Time Calibration,,0,1,2026-08-08 04:54:16.510000

733739,22nd Place Solution 窶・Five Engines and a Hard Lesson About Leaderboards,,0,2,2026-08-08 03:47:59.023000

733716,557th Place Solution Writeup,,0,1,2026-08-08 00:41:39.447000

733711,31th Place Solution,,0,1,2026-08-07 23:57:47.990000

733646,"24th Place Solution 窶・2-Phase SDF U-Net, PF/GBDT Legs, and a Disagreement-Tiered",,0,6,2026-08-07 18:12:05.630000

733606,29th Place - Cascade of Diverse Pipelines,,0,4,2026-08-07 16:01:31.737000

