id,title,authorName,commentCount,votes,postDate

727171,Working Note Award - winners!!!,,0,48,2026-07-18 03:51:39.763000

697416,Welcome to ROGII - Wellbore Geology Prediction!,,17,38,2026-05-06 00:04:21.663000

733341,That's a wrap - thank you all!,,7,27,2026-08-06 15:50:39.640000

707695,Private Test Update and Rescore,,5,19,2026-06-11 14:04:07.034000

709495,New: Working Note Awards! Submit by July 6,,14,18,2026-06-18 23:29:46.734000

697400,[EDIT] Dataset issue - Fixed!,,7,18,2026-05-05 22:46:46.774000

694973,How to get started + Competition's Official Discord,,24,15,2026-04-27 21:33:19.370000

716699,How to submit your Writeup for the Working Note Award,,44,12,2026-06-30 21:24:40.128000

733595,Recap of Competition - Congratulations to the Winners!,,0,6,2026-08-07 15:20:30.345000

697418,Diagram of the problem,,11,177,2026-05-06 01:02:47.450000

733220,1st Place Solution,,30,160,2026-08-06 06:49:55.273000

700424,Share an UI visualizer ,,63,98,2026-05-17 12:47:20.845000

698825,How Geologists Interpret Wells: Some Helpful Tips,,3,75,2026-05-11 18:36:29.863000

733136,26th Place - Stacked UNet + Synthetic Well Pretraining,,35,74,2026-08-06 00:32:39.660000

699853,multi-trajectory prediction (MTP) with deep CNN for welllog inversion,,93,62,2026-05-15 13:49:18.283000

697406,Geological Formations on well Geology (region: Texas),,2,62,2026-05-05 23:00:26.955000

733226,"6th Place - PF, PF, PF, PF, Physics and Row-Level Bagging",,10,57,2026-08-06 07:25:30.457000

697431,"besides regression, also dwt (time warping)! ",,36,47,2026-05-06 03:38:07.141000

733181,36th Place - GPT5.6 Sol - Yolo,,16,46,2026-08-06 04:12:39.777000

708367,Problem Breakdown,,28,39,2026-06-15 09:39:22.878000

