id,title,authorName,commentCount,votes,postDate

733319,3rd Place Solution,,2,38,2026-08-06 13:30:36.783000

698449,Duplicate type wells for different horizontal wells,,6,37,2026-05-09 23:30:08.615000

733154,[7th Place Solution] HMM + UNet (agent is all you need),,11,36,2026-08-06 01:48:34.080000

733432,2nd Place Solution: AnchorCNN 窶・Conditional Probabilistic Path Modeling,,5,36,2026-08-06 21:23:51.080000

733150,9th Place Solution,,2,35,2026-08-06 01:27:26.193000

701041,Why naive XGBoost hits a wall here 窶・and what the literature suggests instead,,0,33,2026-05-18 14:47:01.160000

702474,ML to learn generator for forward simulation,,27,33,2026-05-24 01:56:40.313000

699289,Paradigm Shift: Why pure Tabular Models might be hitting a wall (Spatial & Sequential Context),,4,32,2026-05-13 12:22:48.528000

733135,23rd Kaggle Agent Solution ,,2,30,2026-08-06 00:30:37.220000

699326,"stage.1 : global search using linear prior tvt = linear(md,z)",,5,30,2026-05-13 15:49:38.319000

719235,Question about the geologists' analysis,,1,29,2026-07-04 17:56:01.022000

708167,"Formation Columns Are Derived from Typewell, Not Independent 3D Surfaces",,9,28,2026-06-14 04:10:22.188000

731550,How should we choose the final two submissions before a possible big LB shake-up?,,38,28,2026-07-31 16:02:15.765000

718670,A top-kernel teardown report generated by nvidia-kaggle,,2,28,2026-07-03 22:04:43.202000

733250,18th Place Solution,,0,27,2026-08-06 09:20:51.213000

698002,Is online learning / test-time fine-tuning allowed?,,5,26,2026-05-08 04:09:03.521000

712037,"Fork the ruler, not the model 窶・where the error actually lives",,32,26,2026-06-22 10:03:21.921000

732455,Leaderboard thoughts,,17,25,2026-08-03 05:34:36.837000

733174,13th Place Solution,,0,23,2026-08-06 02:58:22.310000

698282,Defintion of tvt,,13,23,2026-05-09 06:29:46.065000

