Next Page Token = CfDJ8Oxz6O_D_GNGkNy8kL7JFsUkiGxsp4nYnGYT67-MEsUaPgxU9HhbpFwKffMMAJYJDWy-1hc2dXuONaBXd151mTY
  teamId  teamName           submissionDate              score  
--------  -----------------  --------------------------  -----  
15882587  shu01              2026-08-03 09:43:39.556000  4.608  
16211055  Yannan Chen        2026-08-04 19:39:24.910000  4.902  
16292952  N & A & O & A & A  2026-08-04 20:44:54.570000  4.908  
15868731  Tucker Arrants     2026-08-04 19:57:05.836000  5.078  
16040849  tremors            2026-08-04 19:43:30.660000  5.078  
15891270  SaintLouis         2026-08-04 22:46:58.576000  5.080  
15870218  Shrey Gandhi       2026-08-04 17:38:13.586000  5.081  
16110788  David Rouyre       2026-08-04 19:52:05.960000  5.133  
15999593  Rishikesh Jani     2026-08-04 19:25:07.060000  5.204  
15868189  yu4u               2026-08-04 16:14:37.733000  5.205  
15864151  L & J & A & A      2026-08-04 13:18:17.480000  5.308  
15937990  Hit Imai           2026-08-04 00:02:35.463000  5.315  
16419086  monkey             2026-08-04 14:18:53.993000  5.326  
15904349  Ryo Takaki         2026-08-04 22:55:53.573000  5.327  
15863902  tennogh            2026-08-04 16:41:27.740000  5.336  
15863746  Orson Wells        2026-08-04 23:57:00.873000  5.385  
16484613  tawashi            2026-08-04 02:00:16.766000  5.407  
16201230  Rob Boyd           2026-08-04 16:59:56.786000  5.433  
15932833  Coffeethefifth     2026-08-04 13:04:26.763000  5.447  
16232990  k256.dev           2026-08-03 19:43:43.240000  5.458  
