Next Page Token = CfDJ8Oxz6O_D_GNGkNy8kL7JFsWJu8uf34NL7BXuVTxy4W8JOcj8rIDPe-dNsqLomkU23XP314nVUjxhNalVUvEaIJA
  teamId  teamName           submissionDate              score  
--------  -----------------  --------------------------  -----  
15882587  shu01              2026-08-03 09:43:39.556000  4.608  
16211055  Yannan Chen        2026-08-04 04:06:10.883000  4.902  
16292952  N & A & O & A & A  2026-08-04 00:57:13.660000  4.919  
15868731  Tucker Arrants     2026-08-03 17:28:29.090000  5.078  
15870218  Shrey Gandhi       2026-08-04 04:43:01.893000  5.087  
15891270  SaintLouis         2026-08-04 05:07:08.770000  5.089  
16040849  tremors            2026-08-03 21:18:41.363000  5.105  
16110788  David Rouyre       2026-08-04 13:34:08.630000  5.133  
15999593  Rishikesh Jani     2026-08-04 02:52:49.413000  5.204  
15868189  yu4u               2026-08-04 09:48:16.133000  5.205  
15864151  L & J & A & A      2026-08-04 04:47:09.316000  5.308  
15937990  Hit Imai           2026-08-04 00:02:35.463000  5.315  
16419086  monkey             2026-08-04 09:11:25.876000  5.326  
15904349  Ryo Takaki         2026-08-04 06:27:31.513000  5.327  
15863902  tennogh            2026-08-03 22:21:12.226000  5.344  
15863746  Orson Wells        2026-08-03 23:33:53.523000  5.385  
16484613  tawashi            2026-08-04 02:00:16.766000  5.407  
16201230  Rob Boyd           2026-08-04 04:35:05.180000  5.433  
15932833  Coffeethefifth     2026-08-04 05:44:50.746000  5.447  
16232990  I'm back.          2026-08-03 19:43:43.240000  5.458  
