Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15882587,shu01,2026-08-03 09:43:39,4.608,21,shu01jp
2,16211055,Yannan Chen,2026-08-04 04:06:10,4.902,149,yannan90
3,16292952,N & A & O & A & A,2026-08-04 00:57:13,4.919,340,"adilkhabibullin,andrey4522,drzoidberg,nocturnebflat123,ochirdorzhiev"
4,15868731,Tucker Arrants,2026-08-03 17:28:29,5.078,171,tuckerarrants
5,15870218,Shrey Gandhi,2026-08-04 04:43:01,5.087,188,"shreygandhi,vu9480"
6,15891270,SaintLouis,2026-08-04 05:07:08,5.089,265,"alexbstl,garink,ryanstoner"
7,16040849,tremors,2026-08-03 21:18:41,5.105,166,"datafan07,nlztrk"
8,16110788,David Rouyre,2026-08-02 18:23:44,5.133,34,davidrouyre
9,15999593,Rishikesh Jani,2026-08-04 02:52:49,5.204,154,rishikeshjani
10,15868189,yu4u,2026-08-04 09:48:16,5.205,86,ren4yu
11,15864151,L & J & A & A,2026-08-04 04:47:09,5.308,426,"alijs1,arunodhayan,jsday96,l1ghtsource"
12,15937990,Hit Imai,2026-08-04 00:02:35,5.315,242,hitimai
13,16419086,monkey,2026-08-04 09:11:25,5.326,143,marsonchu
14,15904349,Ryo Takaki,2026-08-04 06:27:31,5.327,334,ryotakaki
15,15863902,tennogh,2026-08-03 22:21:12,5.344,84,tennogh
16,15863746,Orson Wells,2026-08-03 23:33:53,5.385,173,"churkinnikita,evgenshuben,jacobyjaeger,l0glikelihood,nazarov"
17,16484613,tawashi,2026-08-04 02:00:16,5.407,98,tawashi
18,16201230,Rob Boyd,2026-08-04 04:35:05,5.433,210,robboyd
19,15932833,Coffeethefifth,2026-08-04 05:44:50,5.447,114,okilireaya
20,16232990,I'm back.,2026-08-03 19:43:43,5.458,129,k256net
21,15994289,Can,2026-08-04 09:23:53,5.488,89,canentay
22,15881338,富士山,2026-08-04 00:35:49,5.521,355,"bluepill,sggpls,yuto0712"
23,16549824,zhzhou2026,2026-08-03 00:24:44,5.562,84,zhzhou2026
24,16139011,daimaru,2026-08-04 09:07:21,5.585,12,daimaruk
25,15868698,goonew,2026-08-03 22:34:46,5.614,145,goonew
26,15972887,in blue,2026-08-03 16:12:33,5.622,14,bhatiji
27,15910655,roglike,2026-08-04 01:38:22,5.636,260,"eijixxx,gaopengren"
28,15910775,TKPNM,2026-08-04 11:38:34,5.643,304,"kazuwhite,maciejsypetkowski,nataliajakowska,priyanshujain32,takumi0220"
29,15873784,Ruby,2026-08-04 12:20:47,5.648,44,w5833946
30,15875345,Ali,2026-08-03 08:41:49,5.681,115,asalhi
31,16437539,emforce77,2026-08-04 00:02:27,5.694,99,emforce77
32,16103125,WhatCanWeDo,2026-08-04 02:52:12,5.708,76,shexunov
33,15865237,Kaggle Agent,2026-08-04 00:09:03,5.732,193,"arc144,dott1718,jiweiliu,maxjeblick"
34,16473254,galatea,2026-08-04 06:35:29,5.762,75,ark911
35,16485299,안녕하세요이세입니다잘부탁드립니다,2026-08-03 08:55:30,5.774,149,"moonswalk,municef1"
36,15867661,tereka & Takoi,2026-08-03 22:15:42,5.777,254,"takoihiraokazu,tereka"
37,15956269,Bilzard,2026-08-03 20:15:15,5.78,47,tatamikenn
38,15868272,寿! & yiyu0716 & 萤火2018,2026-08-04 08:22:24,5.789,379,"aiwody,taka3776toshi,yiyu0716"
39,15876567,Yanis Belami,2026-08-03 06:53:12,5.821,83,yanisbelami
40,16209124,True North,2026-08-04 07:38:51,5.833,246,"dorainren,jiangzhenyue,leehuiii,xxxtetantion"
41,16033068,zhuo wamg,2026-08-03 15:04:43,5.836,195,"zhuowamg,znwe342"
42,15876196,Falcon,2026-08-03 13:39:40,5.843,51,aromani
43,16517930,Brendan Carlin,2026-08-04 03:05:51,5.853,41,brendancarlin
44,15873462,usk,2026-08-03 07:25:39,5.854,93,yusukeoi
45,15870201,AdvancedMineCraft,2026-08-04 01:51:42,5.859,187,theonetheonly
46,16565368,name it whatever,2026-08-04 04:13:24,5.86,44,"thiagommtmn,yarneo"
47,15864296,rack my brains,2026-08-04 08:14:54,5.861,121,i2nfinit3y
48,15974029,D & L & Sㅤㅤ,2026-08-03 23:44:31,5.863,434,"aurax7,coolinlai,davidsarrat"
49,16063546,brave-心勇-heart,2026-08-04 06:42:50,5.865,86,braveheart
50,16537567,monnu,2026-08-04 07:12:17,5.865,13,fuumin621
