Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames,rank
1,15882587,shu01,2026-08-03 09:43:39,4.608,21,shu01jp,1
2,16211055,Yannan Chen,2026-08-04 19:39:24,4.902,153,yannan90,2
3,16292952,N & A & O & A & A,2026-08-04 20:44:54,4.908,344,"adilkhabibullin,andrey4522,drzoidberg,nocturnebflat123,ochirdorzhiev",3
4,15868731,Tucker Arrants,2026-08-04 19:57:05,5.078,172,tuckerarrants,4
5,16040849,tremors,2026-08-04 19:43:30,5.078,168,"datafan07,nlztrk",5
6,15891270,SaintLouis,2026-08-04 22:46:58,5.08,268,"alexbstl,garink,ryanstoner",6
7,15870218,Shrey Gandhi,2026-08-04 17:38:13,5.081,192,"shreygandhi,vu9480",7
8,16110788,David Rouyre,2026-08-04 19:52:05,5.133,39,davidrouyre,8
9,15999593,Rishikesh Jani,2026-08-04 19:25:07,5.204,156,rishikeshjani,9
10,15868189,yu4u,2026-08-04 16:14:37,5.205,88,ren4yu,10
11,15864151,L & J & A & A,2026-08-04 13:18:17,5.308,428,"alijs1,arunodhayan,jsday96,l1ghtsource",11
12,15937990,Hit Imai,2026-08-04 00:02:35,5.315,242,hitimai,12
13,16419086,monkey,2026-08-04 14:18:53,5.326,144,marsonchu,13
14,15904349,Ryo Takaki,2026-08-04 22:55:53,5.327,337,ryotakaki,14
15,15863902,tennogh,2026-08-04 16:41:27,5.336,87,tennogh,15
16,15863746,Orson Wells,2026-08-04 23:57:00,5.385,177,"churkinnikita,evgenshuben,jacobyjaeger,l0glikelihood,nazarov",16
17,16484613,tawashi,2026-08-04 02:00:16,5.407,98,tawashi,17
18,16201230,Rob Boyd,2026-08-04 16:59:56,5.433,212,robboyd,18
19,15932833,Coffeethefifth,2026-08-04 13:04:26,5.447,115,okilireaya,19
20,16232990,k256.dev,2026-08-03 19:43:43,5.458,129,k256net,20
21,15994289,Can,2026-08-04 13:09:59,5.488,90,canentay,21
22,15910655,roglike,2026-08-04 16:34:25,5.518,263,"eijixxx,gaopengren",22
23,15881338,富士山,2026-08-04 23:54:19,5.521,358,"bluepill,sggpls,yuto0712",23
24,16549824,zhzhou2026,2026-08-04 12:59:23,5.562,87,zhzhou2026,24
25,15910775,TKPNM,2026-08-04 15:31:41,5.57,305,"kazuwhite,maciejsypetkowski,nataliajakowska,priyanshujain32,takumi0220",25
26,16139011,daimaru,2026-08-04 23:58:05,5.585,14,daimaruk,26
27,15868698,goonew,2026-08-04 17:15:07,5.587,150,goonew,27
28,15972887,in blue,2026-08-03 16:12:33,5.622,14,bhatiji,28
29,15873784,Ruby,2026-08-04 12:55:26,5.648,45,w5833946,29
30,15875345,Ali,2026-08-04 15:34:13,5.668,120,asalhi,30
31,16437539,emforce77,2026-08-04 00:02:27,5.694,99,emforce77,31
32,16103125,WhatCanWeDo,2026-08-04 16:20:58,5.708,78,shexunov,32
33,15865237,Kaggle Agent,2026-08-04 09:54:26,5.732,194,"arc144,dott1718,jiweiliu,maxjeblick",33
34,16473254,galatea,2026-08-04 16:35:42,5.762,79,ark911,34
35,16485299,안녕하세요이세입니다잘부탁드립니다,2026-08-04 14:32:33,5.774,152,"moonswalk,municef1",35
36,15867661,tereka & Takoi,2026-08-04 15:47:41,5.777,255,"takoihiraokazu,tereka",36
37,15956269,Bilzard,2026-08-03 20:15:15,5.78,47,tatamikenn,37
38,15868272,寿! & yiyu0716 & 萤火2018,2026-08-04 08:22:24,5.789,379,"aiwody,taka3776toshi,yiyu0716",38
39,16565368,name it whatever,2026-08-04 15:06:06,5.793,46,"thiagommtmn,yarneo",39
40,15876567,Yanis Belami,2026-08-03 06:53:12,5.821,83,yanisbelami,40
41,16209124,True North,2026-08-04 14:07:41,5.833,247,"dorainren,jiangzhenyue,leehuiii,xxxtetantion",41
42,16033068,zhuo wamg,2026-08-04 14:34:00,5.836,200,"zhuowamg,znwe342",42
43,15876196,Falcon,2026-08-04 14:52:42,5.843,53,aromani,43
44,16517930,Brendan Carlin,2026-08-04 12:28:04,5.845,43,brendancarlin,44
45,15873462,usk,2026-08-03 07:25:39,5.854,93,yusukeoi,45
46,16537567,monnu,2026-08-04 13:08:35,5.856,15,fuumin621,46
47,15870201,AdvancedMineCraft,2026-08-04 01:51:42,5.859,187,theonetheonly,47
48,15864296,rack my brains,2026-08-04 16:59:39,5.861,124,i2nfinit3y,48
49,15974029,D & L & Sㅤㅤ,2026-08-03 23:44:31,5.863,434,"aurax7,coolinlai,davidsarrat",49
50,16063546,brave-心勇-heart,2026-08-04 06:42:50,5.865,86,braveheart,50
