Next Page Token = CfDJ8HMxIwPZ_4ZImnEqAVaKkSGVx0oPU6IfYov3WD_loXFEadODO7eDuWXz1bK_zGqifBB0rtMDum_vjVLhMAgFE5s
teamId,teamName,submissionDate,score

15882587,shu01,2026-07-18 09:03:33.600000,4.859

16211055,Yannan Chen,2026-07-23 02:23:14.610000,4.905

15891270,SaintLouis,2026-07-22 00:01:11.480000,5.108

15999593,Rishikesh Jani,2026-07-22 05:40:17.443000,5.237

15870218,Shrey Gandhi,2026-07-22 09:07:13.190000,5.265

15864151,L & J & A & A,2026-07-22 20:08:51.146000,5.325

15868189,yu4u,2026-07-17 01:42:09.126000,5.443

15868731,Tucker Arrants,2026-07-18 02:27:41.986000,5.444

16292952,Nocturne & Adil,2026-07-22 10:15:16.163000,5.502

15904349,Ryo Takaki,2026-07-22 17:31:42.646000,5.511

15863902,tennogh,2026-07-22 20:54:00.426000,5.551

16040849,tremors,2026-07-22 23:19:03.580000,5.566

15873784,Ruby,2026-07-19 06:09:33.773000,5.648

15910775,TKP,2026-07-22 08:55:31.150000,5.693

15937990,Hit Imai,2026-07-22 11:24:32.990000,5.740

15994289,Can,2026-07-19 17:12:51.346000,5.747

15910655,roglike,2026-07-22 19:39:59.853000,5.821

16232990,k256.dev,2026-07-22 17:07:36.913000,5.864

16201230,Rob Boyd,2026-07-22 20:59:49.470000,5.877

15863668,Komil Parmar,2026-07-22 19:06:45.800000,5.940

16162057,Andrey Chankin,2026-07-22 11:40:26.793000,5.967

16419086,monkey,2026-07-22 14:56:02.850000,5.976

15873817,Alexey Zakharov,2026-07-22 13:12:50.893000,6.003

15868272,蟇ｿ! & yiyu0716 & 關､轣ｫ2018,2026-07-22 15:20:56.473000,6.004

15867661,tereka & Takoi,2026-07-22 18:26:43.126000,6.017

16472902,Jeevan Jolly,2026-07-22 19:12:39.780000,6.021

16264382,Light Lightov,2026-07-19 13:10:12.513000,6.022

16412396,psdlblng - drillers,2026-07-23 01:11:02.523000,6.034

16003818,62326368,2026-07-23 00:05:15.480000,6.064

15868698,goonew,2026-07-22 17:11:21.316000,6.080

16020558,Parag,2026-07-15 23:21:14.573000,6.106

15870202,Vishal Kishore,2026-07-22 14:52:41.510000,6.118

15863682,Chris Deotte,2026-07-22 17:23:09.606000,6.122

16442142,CUetea,2026-07-22 17:07:28.636000,6.136

16005422,Vibe well,2026-07-22 19:22:01.636000,6.137

16088022,yuanzhe zhou,2026-07-22 17:11:24.470000,6.148

16044457,Evan zhu,2026-07-22 03:49:34.470000,6.199

15984296,less,2026-07-22 07:28:36.256000,6.203

15864296,I2nfinit3y,2026-07-22 12:31:48.243000,6.209

16480303,AdamJonesJohnson,2026-07-22 18:42:24.793000,6.228

16063864,Gert dal Pozzo,2026-07-22 21:14:05.870000,6.232

15863746,Orson Wells,2026-07-22 21:09:29.400000,6.243

15865237,Kaggle Agent,2026-07-22 23:51:05.396000,6.243

15881338,Sergey Bryansky,2026-07-22 03:20:37.213000,6.248

16087867,tobhull,2026-07-19 15:21:14.993000,6.248

15874047,Kurokawa,2026-07-22 14:58:52.720000,6.264

15885215,Vicens Gaitan,2026-07-22 15:07:47.693000,6.269

16097001,ImperfectKitto,2026-07-22 05:36:32.873000,6.288

16199558,i-aztec,2026-07-22 13:38:43.250000,6.306

16516716,Artalmaz31,2026-07-22 10:14:38.163000,6.309

