ref                                                               title                                               author                        lastRunTime                 totalVotes  
----------------------------------------------------------------  --------------------------------------------------  ----------------------------  --------------------------  ----------  
taylorclark637/hellbore-v-6                                       Hellbore V.6                                        Taylor Clark                  2026-08-04 22:45:25.227000           5  
paulodmayra/rogii-geologia-v92-geographic-restoration             ROGII Geologia V92 - Geographic Restoration         PauloDmayra                   2026-08-04 21:55:24.977000           5  
anubhavtyagi1212/rogii-wellbore-prediction-challenge              ROGII - Wellbore Prediction Challenge               Anubhav Tyagi1212             2026-08-04 21:34:40.793000           1  
yaroslavkholmirzayev/reproduce-strongest-reference-aeroridge-v34  Reproduce Strongest Reference: AeroRidge v34        Yaroslav kholmirzayev         2026-08-04 21:02:15.787000          43  
evgendvorkin/rogii-physics-lb-7-872-v48                           ROGII Physics LB 7.872 v48!                         ﾐ頒ｲﾐｾﾑﾐｺﾐｸﾐｽ ﾐ片ｲﾐｳﾐｵﾐｽﾐｸﾐｹ ﾐ漬ｻﾐｰﾐｴﾐｸﾐｼﾐｸﾑﾐｾﾐｲﾐｸﾑ・ 2026-08-04 15:04:33.307000         688  
yaroslavkholmirzayev/rogii-contact-and-u-restore                  ROGII Contact and U Restore                         Yaroslav kholmirzayev         2026-08-04 10:05:19.227000          90  
brianbovell/akiirolabs-tvt-prediction-model                       AkiiroLabs - TVT Prediction Model                   brian bovell                  2026-08-04 08:30:23.410000           1  
navazshfathi/best-score-roggi                                     best-score-roggi-                                   navazsh fathi                 2026-08-03 16:39:42.020000           9  
koushikkumardinda/rogii-wellbore-geology-prediction               屬・・ROGII Wellbore Geology Prediction                KOUSHIK KUMAR DINDA           2026-08-03 11:02:40.060000           9  
itsyoursumit/rogiiv2                                              ROGIIv2                                             Sumit Pandey                  2026-08-03 10:56:17.743000           3  
raunakdey07/rogii-robust-ensemble-v3                              ROGII Robust Ensemble v3                            Raunak Dey                    2026-08-03 10:19:47.917000          44  
rokaiyasomapti/fork-of-rogii-pf-contact-gold-calibra-0b19e9       Fork of ROGII : PF + Contact + Gold Calibra 0b19e9  Rokaiya Somapti               2026-08-03 08:36:55.057000          67  
luffyh04/harshini-submission-f                                    Harshini_submission_F                               Harshini Reddy                2026-08-02 22:30:04.850000          26  
nikitagajbhiye30/rogii-0001                                       ROGII 0001                                          Nikita                        2026-08-02 21:09:03.237000          55  
blacklions/rogii-wellbore-geology-prediction-final-hierarch       ROGII Wellbore Geology Prediction 窶・Final Hierarch  Blacklions.                   2026-08-02 15:34:06.857000          11  
raunakdey07/rogii-physics-informed-stacked-ensemble-v2            ROGII Physics-Informed Stacked Ensemble V2          Raunak Dey                    2026-08-02 12:54:01.170000          24  
daniilkrasnovvv/rogii-solution-on-6-390-in-lb                     [ROGII] Solution on 6.390 in LB!                    Krasnov Daniil                2026-08-02 08:53:01.903000         199  
tamerlanomralinov/hahaha-det-agi                                  hahaha det agi                                      Tamerlan Omralinov            2026-08-01 18:10:49.087000         127  
georgymamarin/measure-your-noise-floor-before-believing-a-lever   Measure your noise floor before believing a lever   Georgy Mamarin                2026-08-01 12:54:32.980000          92  
ylevan78/rogii-wellbore-geology-prediction-test01                 ROGII - Wellbore Geology Prediction-Test01          Y Le                          2026-07-31 04:10:14.857000           0  
farhanabidtech786/rogii-best-score-wellbore-geology-prediction    ROGII Best Score - Wellbore Geology Prediction      Farhan Abid                   2026-07-30 12:07:33.737000          34  
shorooghahmadi/rogii-custom-model                                 rogii_custom_model                                  Shoroogh Ahmadi               2026-07-30 09:24:58.543000           2  
romanrozen/catboost-baseline                                      CATBOOST baseline櫨                                  Roman Rozen                   2026-07-29 19:02:32.327000          33  
lucifer19/rogii-geoanchor                                         ｪｨ粋窶坂ｬ・ROGII GeoAnchor                                Krizsﾃｳ Gergely                2026-07-28 22:48:00.580000          79  
