ref                                                                    title                                               author                        lastRunTime                 totalVotes  
---------------------------------------------------------------------  --------------------------------------------------  ----------------------------  --------------------------  ----------  
evansussex/rogii-public-score-frontier-lab-visuals                     ROGII Public Score Frontier Lab | VISUALS           Evan                          2026-07-23 07:48:06.023000         725  
nihilisticneuralnet/9-251-rogii-wellbore-geology-prediction-dwt-based  9.251 ROGII-Wellbore Geology Prediction: DWT-based  parthenos                     2026-05-13 06:31:11.020000         712  
evgendvorkin/rogii-physics-lb-7-872-v48                                ROGII Physics LB 7.872 v48!                         ﾐ頒ｲﾐｾﾑﾐｺﾐｸﾐｽ ﾐ片ｲﾐｳﾐｵﾐｽﾐｸﾐｹ ﾐ漬ｻﾐｰﾐｴﾐｸﾐｼﾐｸﾑﾐｾﾐｲﾐｸﾑ・ 2026-08-04 15:04:33.307000         688  
bernubritz/rogii-lb7295-public-rebuild                                 ROGII LB7295 Public Rebuild                         Bernardus                     2026-07-10 15:14:19.897000         607  
pilkwang/rogii-dual-track-prefix-calibrated-geosteering                ROGII Dual-Track Prefix-Calibrated Geosteering      Pilkwang Kim                  2026-07-19 06:51:55.987000         352  
ravaghi/wellbore-geology-prediction-ridge                              Wellbore Geology Prediction | Ridge                 Mahdi Ravaghi                 2026-06-06 02:07:29.667000         296  
lightningv08/rogii-dual-pipeline-self-verifying                        ROGII Dual Pipeline + Self-Verifying                Vladislav Lavrentev           2026-06-12 20:56:28.403000         291  
iaztec/top-pf-config-branch-conservative-visuals                       Top PF-Config | Branch Conservative | Visuals       Gleb (i-aztec)                2026-07-24 13:48:29.843000         256  
pixiux/rogii-dual-pipeline-blend                                       rogii_dual_pipeline_blend                           PyJa                          2026-06-10 11:24:57.013000         233  
AmgedAlfaqih/7-091-public                                              7.091 PUBLIC                                        Amged Alfaqih                 2026-07-07 07:28:33.277000         229  
degnonguidi/public-score-rogii-lb-7-159                                  Public Score ROGII [LB: 7.159]                    renji_starfall                2026-06-21 22:51:30.507000         225  
pilkwang/rogii-target-free-tvt-geosteering                             ｧｭ ROGII Target-Free TVT Geosteering                 Pilkwang Kim                  2026-06-13 22:18:37.973000         223  
johnjanson/hahaha-nondet-agi                                           hahaha nondet agi                                   janson                        2026-07-21 09:23:33.983000         222  
cdeotte/xgb-starter-cv-15                                              XGB Starter - [CV 15]                               Chris Deotte                  2026-05-06 03:21:07.053000         221  
daniilkrasnovvv/rogii-solution-on-6-390-in-lb                          [ROGII] Solution on 6.390 in LB!                    Krasnov Daniil                2026-08-02 08:53:01.903000         199  
ravaghi/wellbore-geology-prediction-hill-climbing                      Wellbore Geology Prediction | Hill Climbing         Mahdi Ravaghi                 2026-06-08 10:57:32.340000         198  
baidalinadilzhan/rogii-lb-7-201                                        rogii [lb: 7.201]                                   Baidalin Adilzhan [dsmlkz]    2026-06-18 08:21:08.883000         192  
romantamrazov/rogii-super-solution-lb-top-3                            [ROGII] SUPER SOLUTION |LB: TOP 3                   Roman Tamrazov                2026-05-08 08:57:56.697000         177  
nina2025/rogii-h-blend-v1                                              ROGII |西 h-blend v1                                 F.A.Nina                      2026-05-16 18:57:54.677000         172  
pilkwang/rogii-eda-target-free-alignment-for-tvt                       屬・・ROGII EDA + Target-Free Alignment for TVT        Pilkwang Kim                  2026-06-05 12:30:39.217000         167  
yusuketogashi/rogii-lb7156-baseline                                    ROGII LB7156 Baseline                               Yusuke Togashi                2026-07-08 00:26:30.797000         164  
hjyact/ultimate-pf-config-strategy-a-reproducible-score                Ultimate PF-Config Strategy | A Reproducible Score  hjyact                        2026-07-22 03:18:06.397000         163  
yusuketogashi/rogii-another-approach                                   ROGII Another Approach                              Yusuke Togashi                2026-07-21 04:59:53.527000         161  
yusuketogashi/rogii-another-approch-2nd                                ROGII Another approch 2nd                           Yusuke Togashi                2026-07-23 00:04:09.067000         160  
jaemin3404/rogii-sp45-fleongg-blend-v2                                 rogii-sp45-fleongg-blend-v2                         JAEMIN                        2026-06-08 15:56:24.870000         160  
